timestamp,worker_id,gpu_id,util_percent,memory_used_mb,memory_total_mb,temp_c,power_w
2026-06-08T15:18:42.993049+00:00,scheduler,0,100,18360.2,24564.0,69,449.103
2026-06-08T15:18:47.993816+00:00,scheduler,0,100,18360.2,24564.0,70,448.625
2026-06-08T15:18:52.994378+00:00,scheduler,0,100,18360.2,24564.0,71,449.137
2026-06-08T15:18:57.994923+00:00,scheduler,0,100,18360.2,24564.0,71,448.13
2026-06-08T15:19:02.995557+00:00,scheduler,0,100,18360.2,24564.0,72,448.772
2026-06-08T15:19:07.996551+00:00,scheduler,0,100,18360.2,24564.0,73,449.355
2026-06-08T15:19:12.997232+00:00,scheduler,0,0,16280.2,24564.0,57,83.511
2026-06-08T15:19:17.997722+00:00,scheduler,0,0,16280.2,24564.0,54,76.999
2026-06-08T15:19:22.998530+00:00,scheduler,0,0,16280.2,24564.0,52,76.164
2026-06-08T15:19:27.999196+00:00,scheduler,0,0,16280.2,24564.0,50,55.524
2026-06-08T15:19:32.999874+00:00,scheduler,0,0,16280.2,24564.0,49,15.387
2026-06-08T15:19:38.000530+00:00,scheduler,0,0,16280.2,24564.0,48,14.994
2026-06-08T15:19:43.001214+00:00,scheduler,0,0,16280.2,24564.0,47,14.824
2026-06-08T15:19:48.001816+00:00,scheduler,0,0,16280.2,24564.0,46,14.785
2026-06-08T15:19:53.002578+00:00,scheduler,0,0,16280.2,24564.0,46,14.355
2026-06-08T15:19:58.003077+00:00,scheduler,0,0,16280.2,24564.0,45,14.172
2026-06-08T15:20:03.003675+00:00,scheduler,0,24,24527.6,24564.0,46,74.025
2026-06-08T15:20:08.004171+00:00,scheduler,0,0,24527.6,24564.0,46,73.088
2026-06-08T15:20:13.004698+00:00,scheduler,0,0,24527.6,24564.0,46,72.887
2026-06-08T15:20:18.005188+00:00,scheduler,0,0,24527.6,24564.0,46,72.706
2026-06-08T15:20:23.005880+00:00,scheduler,0,0,24527.6,24564.0,44,14.232
2026-06-08T15:20:28.006555+00:00,scheduler,0,0,24527.6,24564.0,44,14.23
2026-06-08T15:20:33.007033+00:00,scheduler,0,0,24527.6,24564.0,43,13.96
2026-06-08T15:20:38.007650+00:00,scheduler,0,0,24527.6,24564.0,43,14.267
2026-06-08T15:20:43.008091+00:00,scheduler,0,0,24527.6,24564.0,43,14.086
2026-06-08T15:20:48.008621+00:00,scheduler,0,0,24527.6,24564.0,43,13.895
2026-06-08T15:20:53.009134+00:00,scheduler,0,0,24527.6,24564.0,43,13.828
2026-06-08T15:20:58.009587+00:00,scheduler,0,0,24527.6,24564.0,42,12.876
2026-06-08T15:21:03.010061+00:00,scheduler,0,0,24527.6,24564.0,42,12.869
2026-06-08T15:21:08.010641+00:00,scheduler,0,69,21315.6,24564.0,43,70.664
2026-06-08T15:21:13.011175+00:00,scheduler,0,0,24527.6,24564.0,43,71.281
2026-06-08T15:21:18.011728+00:00,scheduler,0,0,24527.6,24564.0,44,71.831
2026-06-08T15:21:23.012530+00:00,scheduler,0,0,24527.6,24564.0,44,71.665
2026-06-08T15:21:28.013178+00:00,scheduler,0,0,24527.6,24564.0,43,17.334
2026-06-08T15:21:33.013696+00:00,scheduler,0,0,24527.6,24564.0,42,13.762
2026-06-08T15:21:38.014206+00:00,scheduler,0,0,24527.6,24564.0,42,13.941
2026-06-08T15:21:43.014672+00:00,scheduler,0,0,24527.6,24564.0,42,13.946
2026-06-08T15:21:48.015348+00:00,scheduler,0,0,24527.6,24564.0,42,13.52
2026-06-08T15:21:53.015919+00:00,scheduler,0,0,24527.6,24564.0,42,13.627
2026-06-08T15:21:58.016365+00:00,scheduler,0,0,24527.6,24564.0,42,13.551
2026-06-08T15:22:03.016931+00:00,scheduler,0,0,24527.6,24564.0,41,13.743
2026-06-08T15:22:08.017478+00:00,scheduler,0,27,19355.6,24564.0,43,60.286
